,ReviewID,Cochrane_Title
1091,CD002825,Effect of fluoride treatment on the fracture rate in postmenopausal women with osteoporosis
1092,CD001524,Effect of Sahaja yoga practice on seizure control and EEG changes in patients of epilepsy
1093,CD006317,Rates and patterns of recurrence for percutaneous radiofrequency ablation and open wedge resection for solitary colorectal liver metastasis
1094,CD007388,A prospective randomized trial of magnesium sulfate in severe preeclampsia: use of diuresis as a clinical parameter to determine the duration of postpartum therapy
1095,CD004017,Group- vs home-based exercise training in healthy older men and women
1096,CD000332,Availability of iron and degree of inflammation modifies the response to recombinant human erythropoietin when treating anemia of chronic disease in patients with rheumatoid arthritis
1097,CD004873,Chest physiotherapy in acute bronchiolitis
1098,CD005529,Introducing Critical Care Outreach: a ward-randomised trial of phased introduction in a general hospital
1099,CD001139,A prospective randomized study comparing acupuncture with physiotherapy for low-back and pelvic pain in pregnancy
1100,CD005179,Randomized clinical trial of local anesthetic versus a combination of local anesthetic with self-hypnosis in the management of pediatric procedure-related pain
1101,CD008818,Allogeneic stem cell transplantation in acute lymphoblastic leukemia and non-Hodgkin's lymphoma for patients < or = 50 years old in first complete remission: results of the EORTC ALL-3 trial
1102,CD007780,Cisapride in management of chronic pediatric constipation.
1103,CD003907,Effects of training and albuterol on pain and fatigue in facioscapulohumeral muscular dystrophy
1104,CD004736,Prevention of iron deficiency anemia in adolescent and adult pregnancies
1105,CD003133,"Randomized, placebo controlled trial of effect of leukotriene receptor antagonist, montelukast, on tapering inhaled corticosteroids in asthmatic patients"
1106,CD005184,[Initial experience with using phosphocreatine in patients in the early (up to 6 hours) period of myocardial infarction]
1107,CD003648,Randomized trial of vitamin supplements in relation to vertical transmission of HIV-1 in Tanzania
1108,CD007122,Comparison of glucose polymer and glucose for screening and tolerance tests in pregnancy
1109,CD003063,Surfactant administration by transient intubation in infants 29 to 35 weeks' gestation with respiratory distress syndrome decreases need of later mechanical ventilation: a randomized controlled trial
1110,CD003838,A 3-month double-blind cross-over study of the effect of Benazepril and hydrochlorothiazide on functional class in symptomatic mild heart failure
1111,CD003587,[Isoflurane anesthesia with combined use of low dose fentanyl for open heart surgery]
1112,CD000037,The effect of intravenous ritodrine on the acid-base status of the fetus during the second stage of labour
1113,CD002772,Randomized controlled trial of heparin for prevention of blockage of peripherally inserted central catheters in neonates
1114,CD009173,"Results at 24 months from the prospective, randomized, multicenter Investigational Device Exemption trial of ProDisc-C versus anterior cervical discectomy and fusion with 4-year follow-up and continued access patients"
1115,CD003388,A controlled evaluation of cognitive behaviorial therapy for posttraumatic stress in motor vehicle accident survivors
1116,CD007837,A controlled prospective studiY on the efficacy of SEAS.02 exercises in preventing progression and braces in mild idiopathic scoliosis
1117,CD003997,The effect of preoperative dexamethasone on the immediate and delayed postoperative morbidity in children undergoing adenotonsillectomy
1118,CD005426,"Parenteral nutrition and ""hypermetabolic"" acute renal failure"
1119,CD007733,Randomized controlled trial of aerosolized prostacyclin therapy in children with acute lung injury
1120,CD007545,Initial experience on rifampin and pyrazinamide versus isoniazid in the treatment of latent tuberculosis infection among patients with silicosis in Hong Kong
1121,CD004316,Investigation of hormonal male contraception in African men: suppression of spermatogenesis by oral desogestrel with depot testosterone
1122,CD004360,"A pilot prospective, randomized, placebo-controlled trial of bilevel positive airway pressure in acute asthmatic attack"
1123,CD002302,Total contact casting in treatment of diabetic plantar ulcers
1124,CD000504,Feeding strategies for premature infants: randomized trial of gastrointestinal priming and tube-feeding method
1125,CD006069,"A multicenter, randomized, controlled trial of lucinactant versus poractant alfa in very premature infants at high risk for respiratory distress syndrome"
1126,CD003688,Effects of occupational therapy home service on patients with rheumatoid arthritis
1127,CD004571,Lack of effect of diltiazem in the treatment of Duchenne's muscular dystrophy: a double blind placebo controlled study
1128,CD001872,"Randomized, controlled trial of metformin for obesity and insulin resistance in children and adolescents: improvement in body composition and fasting insulin"
1129,CD007214,Transcutaneous cranial electrical stimulation by Limoge currents during labour
1130,CD004986,Concurrent Quit & Win and nicotine replacement therapy voucher giveaway programs: participant characteristics and predictors of smoking abstinence
1131,CD006034,The influence of acetylsalicylic acid and paracetamol on menstrual blood loss in women with and without an intrauterine contraceptive device
1132,CD002058,Effects of inhaled beclomethasone compared to systemic dexamethasone on lung inflammation in preterm infants at risk of chronic lung disease
1133,CD005955,Geriatric-based versus general wards for older acute medical patients: a randomized comparison of outcomes and use of resources
1134,CD004549,Drainage at caesarean section - A randomised prospective study
1135,CD005519,Tongue-cleaning methods: a comparative clinical trial employing a toothbrush and a tongue scraper
1136,CD007467,Selective intrapartum penicillin prophylaxis of early onset group B streptococcal disease
1137,CD004531,Treatment of multidrug-resistant Plasmodium falciparum malaria with 3-day artesunate-mefloquine combination
1138,CD010039,Effects of skim milk powder enriched with glycomacropeptide and G600 milk fat extract on frequency of gout flares: a proof-of-concept randomised controlled trial
1139,CD006832,Increased mortality associated with growth hormone treatment in critically ill adults
1140,CD008205,Iron overload in survivors of childhood leukemia after allogeneic hematopoietic stem cell transplantation
1141,CD009128,Improved metabolic control by Ipomoea batatas (Caiapo) is associated with increased adiponectin and decreased fibrinogen levels in type 2 diabetic subjects
1142,CD004663,Closure of the subcutaneous dead space and wound disruption after cesarean delivery
1143,CD001900,"Adjustment of carbamazepine dose to offset the effects of the interaction with remacemide hydrochloride in a double-blind, multicentre, add-on drug trial (CR2237) in refractory epilepsy"
1144,CD002955,A memory assessment technique for use in geriatric psychopharmacology: drug efficacy trial with Naftidrofuryl
1145,CD001421,A randomized trial of citanest with octapressin for pain relief associated with laser vaporization of the cervix
1146,CD003703,Selenium substitution in severe sepsis as useful additive? Preliminary results of the SIC study
1147,CD004325,"A prospective, randomized evaluation of arthroscopic stabilization versus nonoperative treatment in patients with acute, traumatic, first-time shoulder dislocations"
1148,CD002142,"The role of post-operative radiotherapy in non-small cell lung cancer: a multicentre randomised trial in patients with pathologically staged T1-2, N1-2, M0 disease"
1149,CD008424,"Curcumin maintenance therapy for ulcerative colitis: randomized, multicenter, double-blind, placebo-controlled trial"
1150,CD004621,Interceptive orthodontics for palatally displaced maxillary canines: evaluation of alternative approaches
1151,CD005573,Non-pathogenic Eshcherichia coli versus mesalazine for the treatment of ulcerative colitis: a randomized trial
1152,CD001271,St John's Randomized trial of the family practice nurse: health outcomes of patients
1153,CD009043,"A placebo-controlled, fixed-dose study of aripiprazole in children and adolescents with irritability associated with autistic disorder"
1154,CD006199,Human phase I vaccine trials of 3 recombinant asexual stage malaria antigens with Montanide ISA720 adjuvant
1155,CD008327,Treatment of childhood renal osteodystrophy with calcitriol or ergocalciferol
1156,CD006008,"Clean intermittent catheterization: Safe, Cost-effective bladder management for male residents of VA nursing homes"
1157,CD006953,Will improvement in quality of life (QOL) impact fatigue in patients receiving radiation therapy for advanced cancer?
1158,CD002831,Psychoeducational psychotherapy for schizophrenic patients and their key relatives or care-givers: results of a two-year follow-up
1159,CD006728,Does adjunctive family therapy enhance recovery from bipolar I mood episodes?
1160,CD005593,Donepezil improves functional activity in patients with Alzheimer's disease
1161,CD000205,"Double-blind comparison of alprazolam, diazepam, and placebo for the treatment of negative symptoms of schizophrenia"
1162,CD006438,"Repair of giant midline abdominal wall hernias: ""components separation technique"" versus prosthetic repair"
1163,CD007885,"Efficacy and safety of a new, chromatographically purified rhesus (D) immunoglobulin"
1164,CD008238,Short and long term effects of granulocyte colony-stimulating factor during induction therapy in acute myeloid leukemia patients younger than 65: results of a randomized multicenter phase III trial
1165,CD002013,Hypoxaemia is reduced by pulse oximetry monitoring in the operating theatre and in the recovery room
1166,CD002061,Randomized trial of permissive hypercapnia in preterm infants
1167,CD009243,A randomized controlled trial of valethamate bromide in acceleration of labor
1168,CD006028,Efficacy of low-dose continuous infusion of alpha-human atrial natriuretic peptide (hANP) during cardiac surgery: possibility of postoperative left ventricular remodeling effect
1169,CD006462,Effect of water supplementation of full-term newborns on arrival of milk in the nursing mother
1170,CD005177,"A pilot phase II randomized, cross-over, double-blinded, controlled efficacy study of octreotide versus hyoscine hydrobromide for control of noisy breathing at the end-of-life"
1171,CD000535,Efficacy of oral anticoagulants compared with aspirin after infrainguinal bypass surgery (The Dutch Bypass Oral anticoagulants or Aspirin study): a randomised trial
1172,CD004148,Comparison of consumption effects of brief interventions for hazardous drinking elderly
1173,CD003962,Controlled trial of antiplatelet agents in mesangial IgA glomerulonephritis
1174,CD000089,Family therapy in the treatment of severe childhood asthma
1175,CD003623,Percutaneous drainage compared with surgery for hepatic hydatid cysts
1176,CD001071,Facilitating inactive awake states in preterm infants: A study of three interventions
1177,CD002827,A randomised controlled trial of intravenous immunoglobulin in IgM paraprotein associated demyelinating neuropathy
1178,CD004362,Risperidone compared with both lithium and haloperidol in mania: a double-blind randomized controlled trial
1179,CD010538,"Mixture of Arnebia euchroma and Matricaria chamomilla (Marhame-Mafasel) for pain relief of osteoarthritis of the knee - a two-treatment, two-period crossover trial"
1180,CD006505,Impact of influenza-like illness and effectiveness of influenza vaccination in oncohematological children who have completed cancer therapy
1181,CD005646,The effectiveness of desensitization versus rechallenge treatment in HIV-positive patients with previous hypersensitivity to TMP-SMX: a randomized multicentric study
1182,CD006489,A randomised controlled trial testing the impact of exercise on cognitive symptoms and disability of residents with dementia
1183,CD007575,Effect of acupressure on nausea and vomiting during pregnancy
1184,CD001905,Efficacy and safety of intranasal lorazepam versus intramuscular paraldehyde for protracted convulsions in children: an open randomised trial
1185,CD004410,Risperidone in the treatment of first-episode patients with schizophreniform disorder: a double-blind multicenter study
1186,CD004749,"Cluster randomised trial of an active, multifaceted educational intervention based on the WHO Reproductive Health Library to improve obstetric practices"
1187,CD004222,Use of recombinant human erythropoietin in combination with parenteral iron in the treatment of postpartum anaemia
1188,CD000345,Beneficial effect of prednisolone withdrawal followed by human lymphoblastoid interferon on the treatment of chronic type B hepatitis in Asians: a randomized controlled trial
1189,CD002830,Brief communication: Droperidol in acutely agitated patients. A double blind placebo-controlled study
1190,CD008354,Efficacy and safety of the endothelin A/B receptor antagonist TAK-044 in treating subarachnoid hemorrhage: a report by the Steering Committee on behalf of the UK/Netherlands/Eire TAK-044 Subarachnoid Haemorrhage Study Group
1191,CD001908,Long-term cognitive and EEG effects of tiagabine in drug-resistant partial epilepsy
1192,CD004455,Efficacy of prophylactic antibiotics for the prevention of endomyometritis after forceps delivery
1193,CD002067,Analgesic efficacy of an orally administered combination of pentazocine and aspirin. With observations on the use and statistical efficiency of GLOBAL subjective efficacy ratings
1194,CD007901,Similar effects on infants of n-3 and n-6 fatty acids supplementation to pregnant and lactating women
1195,CD006564,A double-blind study of bromocriptine and L-dopa in de novo Parkinson's disease. Short-term results
1196,CD001768,Comparison of breast cancer patient satisfaction with follow-up in primary care vs specialist care: results from a randomized controlled trial
1197,CD000163,Evaluation of peritoneal closure at cesarean section
1198,CD005192,A randomised controlled trial of auricular acupuncture for cocaine dependence
1199,CD005654,Factors discriminating between genuine stress and mixed incontinence
1200,CD004034,"Syst-Eur. A multicentre trial on the treatment of isolated systolic hypertension in the elderly: Objectives, protocol, and organization"
1201,CD003393,Effect of oestrogens on myometrial contractions
1202,CD003990,Effect of a levonorgestrel intrauterine system on women with type 1 diabetes: a randomized trial
1203,CD008285,Interim results of a randomized trial of mitomycin C as an adjunct to radical radiotherapy in the treatment of locally advanced squamous cell carcinoma of the cervix
1204,CD002918,Management of lower limb complex regional pain syndrome type 1: an evaluation of percutaneous radiofrequency thermal lumbar sympathectomy versus phenol lumbar sympathetic neurolysis - a pilot study
1205,CD005186,"Changing knowledge, behavior and practice related to universal precautions among hospital nurses in China"
1206,CD006483,Computer-assisted instruction: an effective instructional method for HIV prevention education?
1207,CD006865,"Lumiracoxib 400 mg compared with celecoxib 400 mg and placebo for treating pain following dental surgery: a randomized, controlled trial"
1208,CD005195,"The association between baseline vitamin E, selenium, and prostate cancer in the alpha-tocopherol, beta-carotene cancer prevention study"
1209,CD002902,The group counseling v exercise therapy study. A controlled intervention with subjects following myocardial infarction
1210,CD004879,Failure of inactivated influenza A vaccine to protect healthy children aged 6-24 months
1211,CD003430,Lack of effect of a high-fiber cereal supplement on the recurrence of colorectal adenomas. Phoenix Colon Cancer Prevention Physicians' Network [see comments]
1212,CD004593,A comparison of continuous infusion and intermittent flushing methods in peripheral intravenous catheters in neonates
1213,CD005419,A randomized trial of chemotherapy with or without recombinant granulocyte monocyte colony stimulating factor (rGMCSF) in HIV-associated non-Hodgkin's lymphoma (NHL): effect of treatment on serum HIV p24 antigen levels
1214,CD006172,Multicenter randomized clinical trial of home uterine activity monitoring: pregnancy outcomes for all women randomized
1215,CD006344,A randomised controlled study on education intervention for childhood asthma by indigenous health workers in the Torres Strait
1216,CD002090,Amphetamine paired with physical therapy accelerates motor recovery after stroke. Further evidence
1217,CD007849,Scalp acupuncture effect on language development in children with autism: a pilot study
1218,CD004460,Intranasal capsaicin is lacking therapeutic effect in perennial allergic rhinitis to house dust mite. A placebo-controlled study
1219,CD006088,Clinical effectiveness of a combination of bromhexine and amoxicillin in lower respiratory tract infection. A randomized controlled trial
1220,CD003193,Comparison of intravaginal electrical stimulation and trospium hydrochloride in women with overactive bladder syndrome: a randomized controlled study
1221,CD000128,Efficacy of magnesium sulphate and phenytoin in the management of eclampsia
1222,CD004500,Quasistatic volume-pressure curve to predict the effects of positive end-expiratory pressure on lung mechanics and gas exchange in neonates ventilated for respiratory distress syndrome
1223,CD003316,The impact of a muscle strengthening and physical conditioning program on gait and stairclimbing performance in chronic stroke subjects
1224,CD001398,Ablation of lesions or no treatment in minimal-mild endometriosis in infertile women: a randomized trial
1225,CD004970,Effects of non-surgical treatment modalities on peri-implantitis
1226,CD003873,Dietary intake and nutritional treatment in childhood Crohn's disease
1227,CD004797,A multisystemic approach to the treatment of serious delinquent behavior
1228,CD004602,The efficacy of ketoprofen and paracetamol (acetaminophen) in postoperative pain after third molar surgery
1229,CD008414,Prophylactic mesalamine treatment decreases postoperative recurrence of Crohn's disease
1230,CD002276,"Creatine monohydrate in muscular dystrophies: a double-blind, placebo-controlled clinical study"
1231,CD004294,"The feasibility of whole body vibration in institutionalised elderly persons and its influence on muscle performance, balance and mobility: a randomised controlled trial"
1232,CD002897,Low-dose mitomycin C trabeculectomy in patients with advanced glaucoma
1233,CD005383,A placebo-controlled randomized trial of antithrombin therapy in neonatal respiratory distress syndrome
1234,CD007340,Regression of hepatic steatosis in morbidly obese persons after gastric bypass
1235,CD006291,Randomized double-blind clinical trial comparing topical and sub-Tenon's anaesthesia in routine cataract surgery
1236,CD006121,Whole brain radiation therapy with or without stereotactic radiosurgery boost for patients with one to three brain metastases: phase III results of the RTOG 9508 randomised trial
1237,CD001805,Plasma volume expansion in the treatment of pre-eclampsia
1238,CD008585,Essential dysmenorrhoea. Severe essential dysmenorrhoea treated with the beta-mimetic agent ritodrine [Danish]
1239,CD002193,"A population-based, randomized clinical trial on back pain management"
1240,CD001190,Kinematic analysis of the effects of donepezil hydrochloride on hand motor function in patients with Alzheimer dementia
1241,CD001356,Surgical versus non-surgical treatment of knee ligament injuries [abstract]
1242,CD004379,"Efficiency of follicle-stimulating hormone, commenced in the luteal phase, for overcoming a poor response in assisted reproduction"
1243,CD009663,Sumatriptan nasal spray for the acute treatment of migraine. Results of two clinical studies
1244,CD004310,Megestrol acetate for anorexia in patients with far-advanced cancer: a double-blind controlled clinical trial
1245,CD005189,Azithromycin does not improve disease course in hospitalized infants with Respiratory Syncytial Virus (RSV) lower respiratory tract disease: a randomized equivalence trial
1246,CD005077,Arthroscopic versus open treatment of Bankart lesion of the shoulder: a prospective randomised study
1247,CD007131,"Effect of the self-monitoring approach on exercise maintenance during cardiac rehabilitation: a randomized, controlled trial"
1248,CD004385,The combination of ursodeoxycholic acid and methotrexate for primary biliary cirrhosis is not better than ursodeoxycholic acid alone
1249,CD005083,Effects of topical honey on post-operative wound infections due to gram positive and gram negative bacteria following caesarean sections and hysterectomies
1250,CD001030,A comparison of valproate with carbamazepine for the treatment of complex partial seizures and secondarily generalized tonic clonic seizures in adults The Department of Veterans Affairs Epilepsy Cooperative Study No. 264 Group [see comments]
1251,CD003556,Conservative surgical approach versus non-surgical management for diabetic neuropathic foot ulcers: a randomized trial
1252,CD008233,"A double-blind, randomized, placebo-controlled trial of macrolide in the treatment of chronic rhinosinusitis"
1253,CD009194,"Multicenter, randomized, controlled study of porcine surfactant in severe respiratory syncytial virus-induced respiratory failure"
1254,CD008361,Narrow-band versus white-light high definition television endoscopic imaging for screening colonoscopy: a prospective randomised trial
1255,CD006320,Omega-3 free fatty acids for the maintenance of remission in Crohn disease: the EPIC Randomized Controlled Trials
1256,CD002809,Effectiveness of intrauterine insemination in subfertile couples with an isolated cervical factor: a randomized clinical trial
1257,CD001146,A three-day course of dexamethasone therapy to prevent chronic lung disease in ventilated neonates: a randomized trial
1258,CD010257,Efficacy of antibiotic therapy for acute exacerbations of mild to moderate COPD
1259,CD005031,Contingent Methadone dose increases as a method for reducing illicit opiate use in detoxification patients
1260,CD001332,Baclofen for spasticity in multiple sclerosis. Double-blind crossover and three-year study
1261,CD002765,Rectal indomethacin reduces postoperative pain and morphine use after cardiac surgery
1262,CD002139,A randomized trial of induction chemotherapy plus high-dose radiation versus radiation alone in stage III non-small cell lung cancer
1263,CD004290,Randomized trial of three different immunosuppressive regimens to prevent chronic renal allograft rejection
1264,CD004639,The blood pressure effects of calcium supplementation in humans of known sodium responsiveness
1265,CD004668,A comparison of dry-bed training and standard urine-alarm conditioning treatment of childhood bedwetting
1266,CD001062,A randomised double blind clinical trial of abdominal decompression for the prevention of pre-eclampsia
1267,CD001167,"A controlled trial comparing sulfamethoxazole-trimethoprim, ampicillin, and no therapy in the treatment of Salmonella gastroenteritis in children"
1268,CD002901,"A comparison of oral milrinone, digoxin, and their combination in the treatment of patients with chronic heart failure"
1269,CD003658,Long-term intraocular pressure control of eyes that developed encapsulated blebs following trabeculectomy
1270,CD009536,Correction: Randomised double-blind controlled trial of roxithromycin for prevention of abdominal aortic aneurysm expansion
1271,CD004976,Is an antihistamine-decongestant combination effective in temporarily relieving symptoms of the common cold in preschool children?
1272,CD005259,Prevention of venous thromboembolism after knee arthroscopy with low-molecular weight heparin (Reviparin): Results of a randomized controlled trial
1273,CD007601,Comparative study of knee anterior cruciate ligament reconstruction with or without fluoroscopic assistance: a prospective study of 73 cases
1274,CD008335,Reduction of plasma urate levels following treatment with multiple doses of pegloticase (polyethylene glycol-conjugated uricase) in patients with treatment-failure gout: Results of a phase II randomized study
1275,CD006017,Randomized phase II study of sorafenib with or without low-dose IFN in patients with metastatic renal cell carcinoma
1276,CD006769,Amniotic membrane transplantation for repair of leaking glaucoma filtering blebs
1277,CD001966,Aminophylline versus doxapram in weaning premature infants from mechanical ventilation: preliminary report
1278,CD006625,Quetiapine has equivalent efficacy and superior tolerability to risperidone in the treatment of schizophrenia with predominantly negative symptoms
1279,CD002179,Protective effect of oxatomide in infantile bronchial asthma. Double-blind study vs placebo
1280,CD000329,Surgical treatments outcomes project for dysfunctional uterine bleeding (STOP-DUB): design and methods
1281,CD003577,"A randomized, controlled study comparing the cosmetic outcome of a new wound closure device with Prolene suture closing caesarean wounds"
1282,CD010118,Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease undergoing coronary artery bypass graft surgery
1283,CD009078,Randomised controlled trial of topical ciclosporin A in steroid dependent allergic conjunctivitis
1284,CD003871,The effect of antibacterial soap with 1.5% triclocarban on Staphylococcus aureus in patients with atopic dermatitis
1285,CD005103,Intensive insulin therapy with insulin lispro: a randomized trial of continuous subcutaneous insulin infusion versus multiple daily insulin injection.[see comment]
1286,CD003241,Functional electrical stimulation improves motor recovery of the lower extremity and walking ability of subjects with first acute stroke. A randomized placebo-controlled trial
1287,CD003286,Impact of automated calls with nurse follow-up on diabetes treatment outcomes in a Department of Veterans Affairs Health Care System: a randomized controlled trial
1288,CD003493,Therapeutic efficacy of right prefrontal slow repetitive transcranial magnetic stimulation in major depression
1289,CD003439,Cigarette Advertising and Teen Smoking Initiation
1290,CD006375,TVT-O vs TVT: a randomized trial in patients with different degrees of urinary stress incontinence
1291,CD004437,Heparin plus alteplase compared with heparin alone in patients with submassive pulmonary embolism
1292,CD003906,Impact of plasma exchange on indices of demyelination in chronic inflammatory demyelinating polyradiculoneuropathy
1293,CD002068,Efficacy of pamidronate in breast cancer with bone metastases: a randomized double-blind placebo controlled multicenter study
1294,CD003254,A randomized trial of intrapartum versus immediate postpartum treatment of women with intra-amniotic infection
1295,CD006924,"A randomised, double-blind, parallel-group, multicentre phase-III study to compare the efficacy and safety of Symbicort pMDI (budesonide/formoterol 160/4.5 mcg 2 actuations b.i.d., delivered dose) with that of Pulmicort pMDI (budesonide 200 mcg 2 actuations b.i.d., metered dose) and Symbicort Turbuhaler (budesonide/formoterol 160/4.5 mcg 2 inhalations b.i.d., delivered dose) in adolescents and adults with asthma."
1296,CD006899,Randomized trial and local biological effect of autologous platelets used as adjuvant therapy for chronic venous leg ulcers
1297,CD006443,Treatment of ulcerative colitis with fish oil supplementation: A prospective 12 month randomised controlled trial
1298,CD006967,"Add-on melatonin improves quality of life in epileptic children on valproate monotherapy: a randomized, double-blind, placebo-controlled trial"
1299,CD007440,Diflunisal. A new oral analgesic with an unusually long duration of action
1300,CD001263,"Open-label randomized trial of oral trimethoprim-sulfamethoxazole. doxycycline, and chloramphenicol compared with trimethoprim-sulfamethoxazole and doxycycline for maintenance therapy of melioidosis"
1301,CD000162,Pentoxifylline in the treatment of acute ischaemic stroke - a reappraisal in Chinese stroke patients
1302,CD007223,"A randomised trial of oral misoprostol (600mcg) versus manual vacuum aspiration in the treatment of incomplete miscarriage in Kampala, Uganda"
1303,CD008310,Pilot study of nebulized surfactant therapy for neonatal respiratory distress syndrome
1304,CD004180,Nurse telephone triage for same day appointments in general practice: multiple interrupted time series trial of effect on workload and costs
1305,CD007137,Bovine lactoferrin supplementation for prevention of late-onset sepsis in very low-birth-weight neonates: a randomized trial
1306,CD006094,Randomised controlled trial of routine individual feedback to improve rationality and reduce numbers of test requests
1307,CD001125,Comparison of four different treatment regimens in hirsutism related to polycystic ovary syndrome
1308,CD004767,"Molluscum contagiosum effectively treated with a topical acidified nitrite, nitric oxide liberating cream"
1309,CD001541,Ingrowing toenails: studies of segmental chemical ablation (study 1)
1310,CD003137,Greater responder rate to fluticasone propionate/salmeterol combination over montelukast plus fluticasone in asthma
1311,CD001021,Colistin inhalation therapy in cystic fibrosis patients with chronic Pseudomonas aeruginosa lung infection
1312,CD001918,"Non-cholesterol sterols in serum, lipoproteins and red cells in statin-treated familial hypercholesterolemia subjects off and on plant stanol and sterol ester spreads"
1313,CD004994,"Treatment of chronic hepatitis C by bicyclum, a randomized double-blind placebo controlled trial"
1314,CD006888,"Demonstration of the efficacy of ginkgo biloba special extract EGb 761 on intermittent claudication--a placebo-controlled, double-blind multicenter trial"
1315,CD005308,A prospective 8 week trial of nasal interfaces vs. a novel oral interface (Oracle) for treatment of obstructive sleep apnea hypopnea syndrome
1316,CD006359,Progesterone supplementation during cryopreserved embryo transfer cycles: efficacy and convenience of two vaginal formulations
1317,CD007458,Comparison of an SMS text messaging and phone reminder to improve attendance at a health promotion center: A randomized controlled trial
1318,CD008540,Impact of metabolic control of diabetes during pregnancy on neonatal hypocalcemia: a randomized study
1319,CD008037,Bioavailability of therapeutic Beta-Carotine (BC) in patients with cystic fibrosis (CF) and effects on anthropometrical parameters over 6 months [abstract]
1320,CD007720,Hydrocortisone infusion for severe community-acquired pneumonia: a preliminary randomised study
1321,CD002025,A comparison of buprenorphine and lofexidine for community opiate detoxification: results from a randomized controlled trial
1322,CD002225,Concurrent cisplatin-based radiotherapy and chemotherapy for locally advanced cervical cancer
1323,CD006374,Schizophrenia. A follow-up study of the results of five forms of treatment
1324,MR000005,Fate of abstracts published in the proceedings of the first annual Perinatal Society of Australia and New Zealand Congress in 1997
1325,CD003160,Association between apolipoprotein E4 and cognitive decline in elderly adults
1326,CD008921,"Preliminary assessment of the efficacy, tolerability and safety of a cannabis-based medicine (Sativex) in the treatment of pain caused by rheumatoid arthritis"
1327,CD001848,Effects of psychotherapy on comorbid conditions in generalized anxiety disorder
1328,CD006746,Laser peripheral iridotomy with and without iridoplasty for primary angle-closure glaucoma: 1-year results of a randomized pilot study
1329,CD005062,The effect of acupuncture in chronic intractable epilepsy
1330,CD007470,"1,25-Dihydroxyvitamin D3 and muscle strength in the elderly: a randomized controlled trial"
1331,CD000225,Prophylactic clotrimazole treatment to prevent mycoses contamination of the newborn
1332,CD010289,"Analgesic efficacy and tolerability of oxycodone 5 mg/ibuprofen 400 mg compared with those of oxycodone 5 mg/acetaminophen 325 mg and hydrocodone 7.5 mg/acetaminophen 500 mg in patients with moderate to severe postoperative pain: a randomized, double-blind, placebo-controlled, single-dose, parallel-group study in a dental pain model"
1333,CD008041,"Zolmitriptan versus a combination of acetylsalicylic acid and metoclopramide in the acute oral treatment of migraine: a double-blind, randomised, three-attack study"
1334,CD005333,Cognitive and behavioral therapies alone versus in combination with fluvoxamine in the treatment of obsessive compulsive disorder
1335,CD008234,"Selective vestibular ablation by intratympanic gentamicin in patients with unilateral active Meniere's disease: a prospective, double-blind, placebo-controlled, randomized clinical trial"
1336,CD000389,Evaluation of a mass-media-led campaign to increase Pap smear screening
1337,CD001406,Absorbent products for urinary/faecal incontinence: a comparative evaluation of key product categories
1338,CD000543,Effect of once- or twice-daily MMX mesalamine (SPD476) for the induction of remission of mild to moderately active ulcerative colitis
1339,CD006576,Single-dose oral ciprofloxacin versus placebo for prophylaxis during transrectal prostate biopsy
1340,CD008508,Single-dose bright light and/or caffeine effect on nocturnal performance
1341,CD004137,Intravenous indomethacin in the treatment of ureteric colic. A clinical multicentre study with pethidine and metamizol as the control preparations
1342,CD004068,Use of a behavioural programme in the first 3 months to prevent infant crying and sleeping problems
1343,CD005608,Controlled trial of medical treatment of active chronic otitis media
1344,CD006040,Randomized clinical trial comparing quality of life after straight and pouch coloanal reconstruction.
1345,CD004625,Study of the effect of different prophylaxis frequencies on the periodontium of young adult males
1346,CD002117,A controlled study of Imipramine (Tofranil) in the treatment of childhood enuresis
1347,CD006405,High-flow nasal cannula and extubation success in the premature infant: a comparison of two modalities
1348,CD000057,Clomiphene treatment for women with unexplained infertility: placebo-controlled study of hormonal responses and conception rates
1349,CD001097,External femoral vein valvuloplasty with limited anterior plication (LAP): a 10 year randomised follow up study
1350,CD003877,Effectiveness of premedication agents administered prior to nitrous oxide/oxygen
1351,CD002087,Safety study of tirilazad mesylate in acute stroke (STIPAS)
1352,CD001925,The Stroke Prevention in Atrial Fibrillation Study: Final results
1353,CD003323,Comparative evaluation of autologous chondrocyte implantation and mosaicplasty: a multicentered randomized clinical trial
1354,CD007261,Evaluation of glucosamine sulfate compared to ibuprofen for the treatment of temporomandibular joint osteoarthritis: a randomized double blind controlled 3 month clinical trial
1355,CD009874,Effects of low-fat and/or high-fruit-and-vegetable diets on plasma levels of 8-isoprostane-F2alpha in the Nutrition and Breast Health study
1356,CD008268,Effectiveness of oral dexamethasone in the treatment of moderate to severe pharyngitis in children
1357,CD009456,The effect of lip strengthening exercises in children and adolescents with myotonic dystrophy type 1
1358,CD007598,Isopropyl alcohol inhalation: Alternative treatment of postoperative nausea and vomiting
1359,CD006930,Effect of intra-abdominal pressure level on gastric intramucosal pH during pneumoperitoneum
1360,CD002273,Resuscitation with room air instead of 100% oxygen prevents oxidative stress in moderately asphyxiated term neonates
1361,CD006536,Acute myocardial infarction: long term echocardiographic remodeling after bone marrow cell transplantation
1362,CD000330,Effects of high volume saline enemas vs no enema during labour – the N-Ma randomised controlled trial
1363,CD006821,A clinical trial of hypertonic saline nasal spray in subjects with the common cold or rhinitis
